name;Review;Weight;Price_before_discount;Discount;price;Timewindow_discount;Origin;Brand;Id;Url;Subcategory;time;Swiss_product;Discount_relative;Price_higher_avg;Last_char_price;Is_last_char_9;main_category;BIO;Date;Word_count;Unit;amount;price per 100g/pice;Weight_unit;Discount_start_date;Discount_end_date;Discount_start_day;Discount_end_day;Discount_duration;Discount_exist;Last_Available_Date;Product_new;Store
Bananen;98.0;pro 1kg |;;;1.29;;variabel;Rainforest Alliance;80000;https://sortiment.lidl.ch/de/bananen-0080000;Obst;2024-11-03 17:40:10.068931;no;;no;9;yes;Obst;no;2024-11-03;1;1kg;1000g;0.13;g;;;;;;no;2024-11-01;no;lidl
Bananen;98.0;pro 1kg |;;;1.29;;variabel;Rainforest Alliance;80000;https://sortiment.lidl.ch/de/bananen-0080000;Obst;2024-11-04 17:18:40.294488;no;;no;9;yes;Obst;no;2024-11-04;1;1kg;1000g;0.13;g;;;;;;no;2024-11-03;no;lidl
Grapefruit;8.0;pro Stück |;;;0.79;;variabel;;80041;https://sortiment.lidl.ch/de/grapefruit-0080041;Obst;2024-10-27 23:06:55.411551;no;;no;9;yes;Obst;no;2024-10-27;1;Stück;1 Stück;0.79;Stück;;;;;;no;;;lidl
Grapefruit;8.0;pro Stück |;;;0.79;;variabel;;80041;https://sortiment.lidl.ch/de/grapefruit-0080041;Obst;2024-10-28 18:00:51.015288;no;;no;9;yes;Obst;no;2024-10-28;1;Stück;1 Stück;0.79;Stück;;;;;;no;2024-10-27;no;lidl
Grapefruit;8.0;pro Stück |;;;0.79;;variabel;;80041;https://sortiment.lidl.ch/de/grapefruit-0080041;Obst;2024-10-29 19:54:18.207193;no;;no;9;yes;Obst;no;2024-10-29;1;Stück;1 Stück;0.79;Stück;;;;;;no;2024-10-28;no;lidl
Grapefruit;8.0;pro Stück |;;;0.79;;variabel;;80041;https://sortiment.lidl.ch/de/grapefruit-0080041;Obst;2024-10-30 20:51:01.157397;no;;no;9;yes;Obst;no;2024-10-30;1;Stück;1 Stück;0.79;Stück;;;;;;no;2024-10-29;no;lidl
Grapefruit;8.0;pro Stück |;;;0.79;;variabel;;80041;https://sortiment.lidl.ch/de/grapefruit-0080041;Obst;2024-10-31 10:28:23.800286;no;;no;9;yes;Obst;no;2024-10-31;1;Stück;1 Stück;0.79;Stück;;;;;;no;2024-10-30;no;lidl
Grapefruit;8.0;pro Stück |;;;0.79;;variabel;;80041;https://sortiment.lidl.ch/de/grapefruit-0080041;Obst;2024-11-01 09:03:50.881119;no;;no;9;yes;Obst;no;2024-11-01;1;Stück;1 Stück;0.79;Stück;;;;;;no;2024-10-31;no;lidl
Grapefruit;8.0;pro Stück |;;;0.79;;variabel;;80041;https://sortiment.lidl.ch/de/grapefruit-0080041;Obst;2024-11-03 17:40:10.068931;no;;no;9;yes;Obst;no;2024-11-03;1;Stück;1 Stück;0.79;Stück;;;;;;no;2024-11-01;no;lidl
Grapefruit;8.0;pro Stück |;;;0.79;;variabel;;80041;https://sortiment.lidl.ch/de/grapefruit-0080041;Obst;2024-11-04 17:18:40.294488;no;;no;9;yes;Obst;no;2024-11-04;1;Stück;1 Stück;0.79;Stück;;;;;;no;2024-11-03;no;lidl
Honigpomelo;2.0;pro Stück |;;;2.99;;variabel;;80056;https://sortiment.lidl.ch/de/honigpomelo-0080056;Obst;2024-10-27 23:06:55.411551;no;;yes;9;yes;Obst;no;2024-10-27;1;Stück;1 Stück;2.99;Stück;;;;;;no;;;lidl
Honigpomelo;2.0;pro Stück |;;;2.99;;variabel;;80056;https://sortiment.lidl.ch/de/honigpomelo-0080056;Obst;2024-10-28 18:00:51.015288;no;;yes;9;yes;Obst;no;2024-10-28;1;Stück;1 Stück;2.99;Stück;;;;;;no;2024-10-27;no;lidl
Honigpomelo;2.0;pro Stück |;;;2.99;;variabel;;80056;https://sortiment.lidl.ch/de/honigpomelo-0080056;Obst;2024-10-29 19:54:18.207193;no;;yes;9;yes;Obst;no;2024-10-29;1;Stück;1 Stück;2.99;Stück;;;;;;no;2024-10-28;no;lidl
Honigpomelo;2.0;pro Stück |;;;2.99;;variabel;;80056;https://sortiment.lidl.ch/de/honigpomelo-0080056;Obst;2024-10-30 20:51:01.157397;no;;yes;9;yes;Obst;no;2024-10-30;1;Stück;1 Stück;2.99;Stück;;;;;;no;2024-10-29;no;lidl
Honigpomelo;2.0;pro Stück |;;;2.99;;variabel;;80056;https://sortiment.lidl.ch/de/honigpomelo-0080056;Obst;2024-10-31 10:28:23.800286;no;;yes;9;yes;Obst;no;2024-10-31;1;Stück;1 Stück;2.99;Stück;;;;;;no;2024-10-30;no;lidl
Honigpomelo;2.0;pro Stück |;;;2.49;;variabel;;80056;https://sortiment.lidl.ch/de/honigpomelo-0080056;Obst;2024-11-01 09:03:50.881119;no;;yes;9;yes;Obst;no;2024-11-01;1;Stück;1 Stück;2.49;Stück;;;;;;no;2024-10-31;no;lidl
Honigpomelo;2.0;pro Stück |;;;2.49;;variabel;;80056;https://sortiment.lidl.ch/de/honigpomelo-0080056;Obst;2024-11-03 17:40:10.068931;no;;yes;9;yes;Obst;no;2024-11-03;1;Stück;1 Stück;2.49;Stück;;;;;;no;2024-11-01;no;lidl
Honigpomelo;2.0;pro Stück |;;;2.49;;variabel;;80056;https://sortiment.lidl.ch/de/honigpomelo-0080056;Obst;2024-11-04 17:18:40.294488;no;;yes;9;yes;Obst;no;2024-11-04;1;Stück;1 Stück;2.49;Stück;;;;;;no;2024-11-03;no;lidl
Clementinen;4.0;pro 1kg |;2.29;-34%;1.49;24.10. - 30.10.;variabel;;80085;https://sortiment.lidl.ch/de/clementinen-0080085;Obst;2024-10-27 23:06:55.411551;no;0.35;no;9;yes;Obst;no;2024-10-27;1;1kg;1000g;0.15;g;2024-10-24;2024-10-30;Thursday;Wednesday;6 days;yes;;;lidl
Clementinen;4.0;pro 1kg |;2.29;-34%;1.49;24.10. - 30.10.;variabel;;80085;https://sortiment.lidl.ch/de/clementinen-0080085;Obst;2024-10-28 18:00:51.015288;no;0.35;no;9;yes;Obst;no;2024-10-28;1;1kg;1000g;0.15;g;2024-10-24;2024-10-30;Thursday;Wednesday;6 days;yes;2024-10-27;no;lidl
Clementinen;4.0;pro 1kg |;2.29;-34%;1.49;24.10. - 30.10.;variabel;;80085;https://sortiment.lidl.ch/de/clementinen-0080085;Obst;2024-10-29 19:54:18.207193;no;0.35;no;9;yes;Obst;no;2024-10-29;1;1kg;1000g;0.15;g;2024-10-24;2024-10-30;Thursday;Wednesday;6 days;yes;2024-10-28;no;lidl
Clementinen;4.0;pro 1kg |;2.29;-34%;1.49;24.10. - 30.10.;variabel;;80085;https://sortiment.lidl.ch/de/clementinen-0080085;Obst;2024-10-30 20:51:01.157397;no;0.35;no;9;yes;Obst;no;2024-10-30;1;1kg;1000g;0.15;g;2024-10-24;2024-10-30;Thursday;Wednesday;6 days;yes;2024-10-29;no;lidl
Clementinen;4.0;pro 1kg |;;;2.29;;variabel;;80085;https://sortiment.lidl.ch/de/clementinen-0080085;Obst;2024-10-31 10:28:23.800286;no;;no;9;yes;Obst;no;2024-10-31;1;1kg;1000g;0.23;g;;;;;;no;2024-10-30;no;lidl
