Title;Review;Weight;Price_before_discount;Discount;Price;Date;Origin;Brand;Id;Url;Subcategory;Date_collecting_data;Swiss_Product;Bio;Word_count;Unit;clean_unit;calculated_price_per100g_perStück;Weight_unit;discount_start_date;discount_ende_date;discount_start_day;discount_ende_day;Discount_duration;Discount_exist
Äpfel Pink Lady 1kg;15.0;pro 1kg |;4.49;;4.49;;variabel;;80215;https://sortiment.lidl.ch/de/aepfel-pink-lady-1kg-0080215;Obst;;no;no;4;1kg;1000g;0.45;g;;;;;;no
Äpfel grün;1.0;pro 1kg |;2.89;;2.89;;Schweiz;;80185;https://sortiment.lidl.ch/de/aepfel-gruen-0080185;Obst;;yes;no;2;1kg;1000g;0.29;g;;;;;;no
Galiamelone;12.0;pro Stück |;2.59;;2.59;;variabel;Rainforest Alliance;80546;https://sortiment.lidl.ch/de/galiamelone-0080546;Obst;;no;no;1;Stück;1 Stück;2.59;Stück;;;;;;no
BIO Trauben hell kernlos 500g;1.0;pro 500g | 1Kg = 5.58 CHF;2.79;;2.79;;Italien;BIO Organic;81651;https://sortiment.lidl.ch/de/bio-trauben-hell-kernlos-500g-0081651;Obst;;no;yes;5;500g;500g;0.56;g;;;;;;no
Trauben hell;1.0;pro 1kg |;2.59;;2.59;;Italien;;80510;https://sortiment.lidl.ch/de/trauben-hell-0080510;Obst;;no;no;2;1kg;1000g;0.26;g;;;;;;no
Trauben hell kernlos 500g;10.0;pro 500g | 1Kg = 4.10 CHF;2.05;;2.05;;variabel;;80505;https://sortiment.lidl.ch/de/trauben-hell-kernlos-500g-0080505;Obst;;no;no;4;500g;500g;0.41;g;;;;;;no
Trauben rot;5.0;pro 1kg |;2.59;;2.59;;Italien;;80490;https://sortiment.lidl.ch/de/trauben-rot-0080490;Obst;;no;no;2;1kg;1000g;0.26;g;;;;;;no
Trauben rot kernlos 500g;3.0;pro 500g | 1Kg = 4.10 CHF;2.05;;2.05;;variabel;;80485;https://sortiment.lidl.ch/de/trauben-rot-kernlos-500g-0080485;Obst;;no;no;4;500g;500g;0.41;g;;;;;;no
Trauben Mix 500g;2.0;pro 500g | 1Kg = 4.58 CHF;2.29;;2.29;;Italien;;80475;https://sortiment.lidl.ch/de/trauben-mix-500g-0080475;Obst;;no;no;3;500g;500g;0.46;g;;;;;;no
Fairtrade Bio Bananen;21.0;pro 1kg |;2.69;;2.69;;variabel;Fairglobe;81510;https://sortiment.lidl.ch/de/fairtrade-bio-bananen-0081510;Obst;;no;yes;3;1kg;1000g;0.27;g;;;;;;no
Bananen;97.0;pro 1kg |  |;0.99;-23%;0.99;24.10. - 30.10.;variabel;Rainforest Alliance;80000;https://sortiment.lidl.ch/de/bananen-0080000;Obst;;no;no;1;1kg;1000g;0.1;g;2024-10-24;2024-10-30;Thursday;Wednesday;6 days;yes
Maroni;3.0;pro 1kg |;7.9;;7.9;;Italien;;80915;https://sortiment.lidl.ch/de/maroni-0080915;Obst;;no;no;1;1kg;1000g;0.79;g;;;;;;no
Ingwer;18.0;pro 1kg |;4.99;;4.99;;variabel;;82700;https://sortiment.lidl.ch/de/ingwer-0082700;Obst;;no;no;1;1kg;1000g;0.5;g;;;;;;no
Zwiebeln rot;;pro 1kg |;1.89;;1.89;;Schweiz;Terra Natura;83345;https://sortiment.lidl.ch/de/zwiebeln-rot-0083345;Gemüse;;yes;no;2;1kg;1000g;0.19;g;;;;;;no
Paprika hellgrün spitz, scharf;;pro 400g |;1.99;;1.99;;Marokko;;82577;https://sortiment.lidl.ch/de/paprika-hellgruen-spitz-scharf-0082577;Gemüse;;no;no;4;400g;400g;0.5;g;;;;;;no
Kartoffeln festkochend 2.5 kg;;pro 2,5kg |;2.19;-24%;2.19;24.10. - 30.10.;Schweiz;;83225;https://sortiment.lidl.ch/de/kartoffeln-festkochend-2-5-kg-0083225;Gemüse;;yes;no;4;2,5kg;2500g;0.09;g;2024-10-24;2024-10-30;Thursday;Wednesday;6 days;yes
Bio Gurken;;pro 250g | 100g = 0.60 CHF;1.49;;1.49;;Spanien;BIO Organic;84430;https://sortiment.lidl.ch/de/bio-gurken-0084430;Gemüse;;no;yes;2;250g;250g;0.6;g;;;;;;no
Kartoffeln mehligkochend 2.5kg;;pro 2,5kg |;2.9;;2.9;;Schweiz;;83275;https://sortiment.lidl.ch/de/kartoffeln-mehligkochend-2-5kg-0083275;Gemüse;;yes;no;3;2,5kg;2500g;0.12;g;;;;;;no
Blumenkohl & Broccoli Mix;;pro 400g | 100g = 0.75 CHF;2.99;;2.99;;Schweiz;;82887;https://sortiment.lidl.ch/de/blumenkohl-broccoli-mix-0082887;Gemüse;;yes;no;4;400g;400g;0.75;g;;;;;;no
Saucenzwiebeln Mix;;pro 500g | 1Kg = 1.98 CHF;0.99;;0.99;;Schweiz;Terra Natura;83343;https://sortiment.lidl.ch/de/saucenzwiebeln-mix-0083343;Gemüse;;yes;no;2;500g;500g;0.2;g;;;;;;no
Karotten Terra Natura;13.0;pro 1kg |;1.69;;1.69;;Schweiz;;82755;https://sortiment.lidl.ch/de/karotten-terra-natura-0082755;Gemüse;;yes;no;3;1kg;1000g;0.17;g;;;;;;no
